timeOfPacket,version,InternetHeaderLength,TypeOfService,TotalLength,Identification,Flags,FragmentOffset,TimeToLive,Protocol,CheckSum,HOST,SrcAddOct1,SrcAddOct2,SrcAddOct3,SrcAddOct4,DstAddOct1,DstAddOct2,DstAddOct3,DstAddOct4,OptionsAndPadding,SourcePort,DestinationPort,SequenceNumber,AcknowledgmentNumber,dataOffset,ReservedTcp,Notification,Congestion,Explicit,ControlU,ControlA,ControlP,ControlR,ControlS,ControlF,Window,CheckSumTCP,UrgentPointer,OptionsTCP,PayloadTCP,SignatureTCP,ReasonOfSignatureStatus
2017-06-19 12:13:27.447505,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0x3ccb,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,47408,192.168.225.1,103,235,46,63,192,168,1,2,,80,59996,3664989737,2841045655,5,0,0,0,0,0,1,0,0,0,1,568,44686,0,,b'',Good,OK
2017-06-19 12:13:27.887530,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,141,0x3ccc,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,47306,192.168.225.1,103,235,46,63,192,168,1,2,,80,59996,3664989629,2841045655,5,0,0,0,0,0,1,1,0,0,0,568,34796,0,,b'HTTP/1.1 200 OK\r\nContent-Length: 7\r\nContent-Type: text/html;charset=utf-8\r\nConnection: Keep-Alive\r\n\r\n',Good,OK
2017-06-19 12:13:28.065540,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,47,0x3ccd,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,47399,192.168.225.1,103,235,46,63,192,168,1,2,,80,59996,3664989730,2841045655,5,0,0,0,0,0,1,1,0,0,0,568,65338,0,,b'success',Good,OK
2017-06-19 12:13:28.243550,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,141,0xd867,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,7471,192.168.225.1,103,235,46,63,192,168,1,2,,80,59997,1184797098,1281655685,5,0,0,0,0,0,1,1,0,0,0,568,39896,0,,b'HTTP/1.1 200 OK\r\nContent-Length: 7\r\nContent-Type: text/html;charset=utf-8\r\nConnection: Keep-Alive\r\n\r\n',Good,OK
2017-06-19 12:13:28.927589,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xd868,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,7571,192.168.225.1,103,235,46,63,192,168,1,2,,80,59997,1184797206,1281655685,5,0,0,0,0,0,1,0,0,0,1,568,49786,0,,b'',Good,OK
2017-06-19 12:13:34.464906,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,1340,0x848b,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,27764,192.168.225.1,103,235,46,39,192,168,1,2,,80,60006,2243741972,1907085033,5,0,0,0,0,0,1,0,0,0,0,776,17773,0,,"b'1b306\r\n<!DOCTYPE html>\n<!--STATUS OK-->\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\t\r\n        \r\n\t\t\t        \r\n\t\r\n\t\t\t        \r\n\t\r\n\t\t\t        \r\n\t\r\n\t\t\t        \r\n\t\t\t    \r\n\r\n\t\r\n        \r\n\t\t\t        \r\n\t\r\n\t\t\t        \r\n\t\r\n\t\t\t        \r\n\t\r\n\t\t\t        \r\n\t\t\t    \r\n\r\n\r\n\r\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\r\n\n<html>\n<head>\n    \n    <meta http-equiv=""content-type"" content=""text/html;charset=utf-8"">\n    <meta http-equiv=""X-UA-Compatible"" content=""IE=Edge"">\n\t<meta content=""always"" name=""referrer"">\n    <meta name=""theme-color"" content=""#2932e1"">\n    <link rel=""shortcut icon"" href=""/favicon.ico"" type=""image/x-icon"" />\n    <link rel=""search"" type=""application/opensearchdescription+xml"" href=""/content-search.xml"" title=""\xe7\x99\xbe\xe5\xba\xa6\xe6\x90\x9c\xe7\xb4\xa2"" /> \n    <link rel=""icon"" sizes=""any"" mask href=""//www.baidu.com/img/baidu.svg"">\n\t\n\t\n\t<link rel=""dns-prefetch"" href=""//s1.bdstatic.com""/>\n\t<link rel=""dns-prefetch"" href=""//t1.baidu.com""/>\n\t<link rel=""dns-prefetch"" href=""//t2.baidu.com""/>\n\t<link rel=""dns-prefetch"" href=""//t3.baidu.com""/>\n\t<link rel=""dns-prefetch"" href=""//t10.baidu.com""/>\n\t<link rel=""dns-prefetch"" href=""//t11.baidu.com""/>\n\t<link rel=""dns-prefetch"" href=""//t12.baidu.com""/>\n\t<link rel=""dns-pre'",bad,"('Alert!!!\t', 'PROTOCOL-POP STAT command')"
2017-06-19 12:13:36.926047,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,1340,0x8490,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,27759,192.168.225.1,103,235,46,39,192,168,1,2,,80,60006,2243748472,1907085033,5,0,0,0,0,0,1,0,0,0,0,776,38077,0,,"b'r{position:relative;top:-191px}\n.s_ipt_wr{height:34px}\n#head .c-icon-bear-round{display:none}\n#form{margin:22px auto 0;width:641px;text-align:left;z-index:100}\n#form .bdsug,#fm .bdsug{top:35px}\n.bdsug{display:none;position:absolute;width:538px;background:#fff;border:1px solid #ccc;_overflow:hidden;box-shadow:1px 1px 3px #ededed;-webkit-box-shadow:1px 1px 3px #ededed;-moz-box-shadow:1px 1px 3px #ededed;-o-box-shadow:1px 1px 3px #ededed}\n.bdsug.bdsugbg ul{background:url(http://s1.bdstatic.com/r/www/cache/static/home/img/sugbg_1762fe7.png) 100% 100% no-repeat;background-size:100px 110px;background-image:url(http://s1.bdstatic.com/r/www/cache/static/home/img/sugbg_90fc9cf.gif)\\9}\n.bdsug li{width:522px;color:#000;font:14px arial;line-height:25px;padding:0 8px;position:relative;cursor:default}\n.bdsug li.bdsug-s{background:#f0f0f0}\n.bdsug-store span,.bdsug-store b{color:#7A77C8}\n.bdsug-store-del{font-size:12px;color:#666;text-decoration:underline;position:absolute;right:8px;top:0;cursor:pointer;display:none}\n.bdsug-s .bdsug-store-del{display:inline-block}\n.bdsug-ala{display:inline-block;border-bottom:1px solid #e6e6e6}\n.bdsug-ala h3{line-height:14px;background:url(//www.baidu.com/img/sug_bd.png) no-repeat left center;margin:8px 0 5px;font-size:12px;font-weight:400;color:#7B7B7B;padding-'",bad,"('Alert!!!\t', 'PROTOCOL-POP STAT command')"
2017-06-19 12:13:36.952048,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,1340,0x8493,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,27756,192.168.225.1,103,235,46,39,192,168,1,2,,80,60006,2243752372,1907085033,5,0,0,0,0,0,1,0,0,0,0,776,43474,0,,"b'op:28px;display:none;background:#fff}\n#mMenu a:hover{background:#ebebeb}\n#mMenu .ln{height:1px;background:#ebebeb;overflow:hidden;font-size:1px;line-height:1px;margin-top:-1px}\n#u1 a:link,#u1 a:visited{color:#666;text-decoration:none}\n#u1 a:hover,#u1 a:active{text-decoration:underline}\n#u1 a:active{color:#00c}\n#u1{z-index:2;color:#fff;position:absolute;right:0;top:0;margin:19px 0 5px;padding:0 96px 0 0}\n#u1 .reg{display:none}\n#u1 a.pf,#u1 a.pf:visited{display:inline-block;float:left;color:#333;line-height:24px;font-size:13px;margin-left:20px;overflow:hidden;text-decoration:underline}\n#u1 a.lb,#u1 a.lb:visited,#u1 a.username{display:inline-block;float:left;color:#333;font-size:13px;line-height:24px;margin-left:20px;text-decoration:underline}\n#u1 a.bri,#u1 a.bri:visited{display:inline-block;position:absolute;right:10px;width:60px;height:23px;float:left;color:#fff;background:#38f;line-height:24px;font-size:13px;text-align:center;overflow:hidden;border-bottom:1px solid #38f;margin-left:19px;margin-right:2px}\n#u1 a.bri.brihover{display:none;text-decoration:none;color:#333;background:0 0;border-bottom:1px solid transparent;margin-left:19px}\n#u1 #lm a{color:#00c;text-decoration:underline}\n#u1 a.mnav,#u1 a.mnav:visited{float:left;color:#333;font-weight:700;line-height:24px;margin-left:20'",Good,OK
2017-06-19 12:13:36.979050,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,1029,0x84a6,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,28048,192.168.225.1,103,235,46,39,192,168,1,2,,80,60006,2243740983,1907085033,5,0,0,0,0,0,1,1,0,0,0,776,43994,0,,"b'HTTP/1.1 200 OK\r\nDate: Mon, 19 Jun 2017 10:13:36 GMT\r\nContent-Type: text/html; charset=utf-8\r\nTransfer-Encoding: chunked\r\nConnection: Keep-Alive\r\nVary: Accept-Encoding\r\nSet-Cookie: BAIDUID=CD212CAB4FE3C2A9C337974C805E4FDD:FG=1; expires=Thu, 31-Dec-37 23:55:55 GMT; max-age=2147483647; path=/; domain=.baidu.com\r\nSet-Cookie: BIDUPSID=CD212CAB4FE3C2A9C337974C805E4FDD; expires=Thu, 31-Dec-37 23:55:55 GMT; max-age=2147483647; path=/; domain=.baidu.com\r\nSet-Cookie: PSTM=1497867216; expires=Thu, 31-Dec-37 23:55:55 GMT; max-age=2147483647; path=/; domain=.baidu.com\r\nSet-Cookie: BDSVRTM=0; path=/\r\nSet-Cookie: BD_HOME=0; path=/\r\nSet-Cookie: H_PS_PSSID=1430_21086_17001_22071_22160; path=/; domain=.baidu.com\r\nP3P: CP="" OTI DSP COR IVA OUR IND COM ""\r\nCache-Control: private\r\nCxy_all: baidu+98a0a3c3b4f21d77f5bbfa50dd48c454\r\nExpires: Mon, 19 Jun 2017 10:12:49 GMT\r\nX-Powered-By: HPHP\r\nServer: BWS/1.1\r\nX-UA-Compatible: IE=Edge,chrome=1\r\nBDPAGETYPE: 1\r\nBDQID: 0xad4e09ea0012303b\r\nBDUSERID: 0\r\n\r\n'",Good,OK
2017-06-19 12:13:37.080056,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0x0,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,63023,192.168.225.1,103,235,46,11,192,168,1,2,,80,60008,3095830942,0,5,0,0,0,0,0,0,0,1,0,0,0,4962,0,,b'',bad,IP field failure: unexpected window size
