timeOfPacket,version,InternetHeaderLength,TypeOfService,TotalLength,Identification,Flags,FragmentOffset,TimeToLive,Protocol,CheckSum,HOST,SrcAddOct1,SrcAddOct2,SrcAddOct3,SrcAddOct4,DstAddOct1,DstAddOct2,DstAddOct3,DstAddOct4,TypeICMP,codeICMP,CheckSumICMP,payload,Signature,ReasonOfSignatureStatus
2017-06-18 13:01:06.256740,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,69,0x6a4d,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,Internet Control Message Protocol,0,192.168.225.1,192,168,1,2,192,168,1,2,Destination unreachable.,1,36253,b'\x00\x00\x00\x00E\x00\x00)jL@\x00\x80\x06\x00\x00\xc0\xa8\x01\x024UEL\xe5x\x00P\x18;\x95\xb4d\xb4\xfc\x84P\x10@\xcf>\xc7\x00\x00\x00',Good,OK
2017-06-18 13:25:59.783165,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,68,0x2beb,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,Internet Control Message Protocol,0,192.168.225.1,192,168,1,2,192,168,1,2,Destination unreachable.,1,52224,b'\x00\x00\x00\x00E\x00\x00(+\xe9@\x00\x80\x06\x00\x00\xc0\xa8\x01\x024UE\x80\xecn\x00P\x80\xae\xa9\xfb\xfcE&oP\x14\x00\x00:3\x00\x00',Good,OK
2017-06-18 13:56:09.714687,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,68,0x33ae,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,Internet Control Message Protocol,0,192.168.225.1,192,168,1,2,192,168,1,2,Destination unreachable.,1,50269,b'\x00\x00\x00\x00E\x00\x00(3\x8c@\x00\x80\x06\x00\x00\xc0\xa8\x01\x02E\x10\xaf*\xf6\xa8\x00P\xeeu\x1a\xcfK~q\xeeP\x14\x00\x00<A\x00\x00',Good,OK
