timeOfPacket,version,InternetHeaderLength,TypeOfService,TotalLength,Identification,Flags,FragmentOffset,TimeToLive,Protocol,CheckSum,HOST,SrcAddOct1,SrcAddOct2,SrcAddOct3,SrcAddOct4,DstAddOct1,DstAddOct2,DstAddOct3,DstAddOct4,SourcePort,DestinationPort,Length,checkSumUDP,payload,Signature,ReasonOfSignatureStatus
2017-06-18 12:48:50.903680,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x929,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,34616,b'\x92]\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FDCOFJEPFFFEFFECEFCOEDEPENCACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:50.931682,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x92a,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,58947,b'\x92c\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FHFAEBEECACACACACACACACACACACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:51.203697,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x92b,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,58941,b'\x92i\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FHFAEBEECACACACACACACACACACACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:51.601720,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x92c,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,34616,b'\x92]\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FDCOFJEPFFFEFFECEFCOEDEPENCACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:51.660723,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x92e,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,58947,b'\x92c\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FHFAEBEECACACACACACACACACACACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:51.950740,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x92f,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,58941,b'\x92i\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FHFAEBEECACACACACACACACACACACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:52.349763,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x930,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,34598,b'\x92o\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FDCOFJEPFFFEFFECEFCOEDEPENCACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:52.410766,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x934,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,60696,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,34598,b'\x92o\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FDCOFJEPFFFEFFECEFCOEDEPENCACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:53.164809,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x936,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,58923,b'\x92{\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FHFAEBEECACACACACACACACACACACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:53.223813,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x937,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,34598,b'\x92o\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FDCOFJEPFFFEFFECEFCOEDEPENCACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:53.913852,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x939,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,58923,b'\x92{\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FHFAEBEECACACACACACACACACACACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:53.975856,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x93a,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,34580,b'\x92\x81\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FDCOFJEPFFFEFFECEFCOEDEPENCACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:54.664895,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x93c,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,58923,b'\x92{\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FHFAEBEECACACACACACACACACACACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:54.723899,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x93f,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,34574,b'\x92\x87\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FDCOFJEPFFFEFFECEFCOEDEPENCACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:55.412938,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x941,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,58905,b'\x92\x8d\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FHFAEBEECACACACACACACACACACACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:55.479942,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x944,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,58899,b'\x92\x93\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FHFAEBEECACACACACACACACACACACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:55.991971,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x945,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,34580,b'\x92\x81\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FDCOFJEPFFFEFFECEFCOEDEPENCACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:56.163981,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x947,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,58905,b'\x92\x8d\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FHFAEBEECACACACACACACACACACACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:56.228985,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x948,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,58899,b'\x92\x93\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FHFAEBEECACACACACACACACACACACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:56.749014,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x949,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,34556,b'\x92\x99\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FDCOFJEPFFFEFFECEFCOEDEPENCACAAA\x00\x00 \x00\x01',Good,OK
2017-06-18 12:48:56.937025,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,78,0x94a,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,128,User Datagram Protocol,0,192.168.225.1,192,168,225,1,192,168,225,255,137,137,58,58905,b'\x92\x8d\x01\x10\x00\x01\x00\x00\x00\x00\x00\x00 FHFAEBEECACACACACACACACACACACAAA\x00\x00 \x00\x01',Good,OK
