timeOfPacket,version,InternetHeaderLength,TypeOfService,TotalLength,Identification,Flags,FragmentOffset,TimeToLive,Protocol,CheckSum,HOST,SrcAddOct1,SrcAddOct2,SrcAddOct3,SrcAddOct4,DstAddOct1,DstAddOct2,DstAddOct3,DstAddOct4,OptionsAndPadding,SourcePort,DestinationPort,SequenceNumber,AcknowledgmentNumber,dataOffset,ReservedTcp,Notification,Congestion,Explicit,ControlU,ControlA,ControlP,ControlR,ControlS,ControlF,Window,CheckSumTCP,UrgentPointer,OptionsTCP,PayloadTCP,SignatureTCP,ReasonOfSignatureStatus
2017-06-17 13:54:25.773574,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0x0,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,63023,192.168.225.1,103,235,46,11,192,168,1,2,,80,52726,3601194015,0,5,0,0,0,0,0,0,0,1,0,0,0,55091,0,,b'',bad,IP field failure: unexpected window size
2017-06-17 13:54:27.261659,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0x0,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,63023,192.168.225.1,103,235,46,11,192,168,1,2,,80,52726,3601194015,0,5,0,0,0,0,0,0,0,1,0,0,0,55091,0,,b'',bad,IP field failure: unexpected window size
2017-06-17 13:54:27.693684,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0x0,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,63023,192.168.225.1,103,235,46,11,192,168,1,2,,80,52726,3601194015,0,5,0,0,0,0,0,0,0,1,0,0,0,55091,0,,b'',bad,IP field failure: unexpected window size
2017-06-17 13:54:27.954698,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,70,0x9c17,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,23034,192.168.225.1,103,235,46,11,192,168,1,2,,80,52727,2550109533,1096194546,5,0,0,0,0,0,1,1,0,0,0,496,26269,0,,b'e=0\nJ\x9eN\xf6\xb7wQ\xf4B\xe8\xc3.?\xe8=\x9ae\x1f\xd4\x98Q\x97~\x1eSC',Good,OK
2017-06-17 13:54:28.079706,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0x0,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,63023,192.168.225.1,103,235,46,11,192,168,1,2,,80,52728,2791276951,0,5,0,0,0,0,0,0,0,1,0,0,0,25088,0,,b'',bad,IP field failure: unexpected window size
2017-06-17 13:54:29.168768,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0x0,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,63023,192.168.225.1,103,235,46,11,192,168,1,2,,80,52728,2791276951,0,5,0,0,0,0,0,0,0,1,0,0,0,25088,0,,b'',bad,IP field failure: unexpected window size
2017-06-17 13:54:29.628794,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0x0,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,63023,192.168.225.1,103,235,46,11,192,168,1,2,,80,52728,2791276951,0,5,0,0,0,0,0,0,0,1,0,0,0,25088,0,,b'',bad,IP field failure: unexpected window size
2017-06-17 13:54:29.851807,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0x0,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,63023,192.168.225.1,103,235,46,11,192,168,1,2,,80,52731,3496199804,0,5,0,0,0,0,0,0,0,1,0,0,0,62227,0,,b'',bad,IP field failure: unexpected window size
2017-06-17 13:54:31.014873,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0x0,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,63023,192.168.225.1,103,235,46,11,192,168,1,2,,80,52732,1638257774,0,5,0,0,0,0,0,0,0,1,0,0,0,21471,0,,b'',bad,IP field failure: unexpected window size
2017-06-17 13:54:31.221885,4,20,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0x0,"('0 - Reserved bit\t\t\t1 - Do not fragment\t\t\t0 - last fragment', 0, 1, 0)",0,45,Transmission Control Protocol,63023,192.168.225.1,103,235,46,11,192,168,1,2,,80,52731,3496199804,0,5,0,0,0,0,0,0,0,1,0,0,0,62227,0,,b'',bad,IP field failure: unexpected window size
